City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,bac lieu,9.285,105.7244,78.51,75,7,11.79,VN,2023-02-06 10:53:13
257,darnah,32.767,22.6367,50.18,75,100,15.23,LY,2023-02-06 10:53:14
258,katsuura,35.1333,140.3,50.36,48,100,4.14,JP,2023-02-06 10:53:14
259,codrington,-38.2667,141.9667,58.26,84,20,7.0,AU,2023-02-06 10:53:14
260,komsomolskiy,40.4272,71.7189,47.12,66,100,2.3,UZ,2023-02-06 10:53:15
261,revda,56.801,59.9303,22.42,88,95,1.21,RU,2023-02-06 10:53:15
262,buala,-8.145,159.5921,77.4,89,100,5.12,SB,2023-02-06 10:53:16
263,jizan,17.3333,42.6667,86.94,45,60,11.83,SA,2023-02-06 10:53:16
264,lisala,2.15,21.5167,101.26,20,44,2.53,CD,2023-02-06 10:53:16
265,ikalamavony,-21.15,46.5833,79.84,60,100,10.51,MG,2023-02-06 10:53:17
266,kolokani,13.5728,-8.0339,85.37,9,97,11.74,ML,2023-02-06 10:53:17
267,kandrian,-6.2167,149.55,79.21,87,91,9.71,PG,2023-02-06 10:53:18
268,orchard homes,46.8633,-114.0484,36.59,84,100,10.36,US,2023-02-06 10:48:48
269,port shepstone,-30.7414,30.455,80.62,72,0,16.73,ZA,2023-02-06 10:51:10
270,talnakh,69.4865,88.3972,-0.63,98,100,3.6,RU,2023-02-06 10:53:19
271,tanda,26.55,82.65,76.06,33,0,10.11,IN,2023-02-06 10:53:19
272,santiago de cao,-7.9589,-79.2392,69.93,88,79,3.44,PE,2023-02-06 10:53:19
273,ilulissat,69.2167,-51.1,-0.38,78,75,12.66,GL,2023-02-06 10:49:12
274,leningradskiy,69.3833,178.4167,-26.21,99,100,4.99,RU,2023-02-06 10:53:20
275,hovd,48.0056,91.6419,5.85,85,14,1.25,MN,2023-02-06 10:53:20
276,xuanhua,40.6103,115.0447,31.8,24,93,3.11,CN,2023-02-06 10:53:21
